movie_name,ranking,score,score_num
再次出发之纽约遇见你,192,8.5,173177
青蛇,193,8.4,225557
海盗电台,194,8.6,167217
哪吒闹海,195,8.9,82052
东京物语,196,9.2,51432
绿里奇迹,197,8.7,108284
末路狂花,198,8.7,106251
头脑特工队,199,8.7,231531
勇闯夺命岛,200,8.5,143950
终结者2：审判日,201,8.6,143207
房间,202,8.8,156809
这个男人来自地球,203,8.5,184181
源代码,204,8.3,414650
卡萨布兰卡,205,8.6,126590
新龙门客栈,206,8.5,186858
黑客帝国3：矩阵革命,207,8.5,158408
血战钢锯岭,208,8.7,319998
荒野生存,209,8.6,129386
迁徙的鸟,210,9.1,52305
模仿游戏,211,8.5,259423
变脸,212,8.4,217394
城市之光,213,9.2,44810
E.T. 外星人,214,8.5,155115
发条橙,215,8.4,188249
美国丽人,216,8.4,187939
黄金三镖客,217,9.1,52005
无耻混蛋,218,8.4,226173
燕尾蝶,219,8.6,108796
英国病人,220,8.4,175767
初恋这件小事,221,8.3,467815
一个叫欧维的男人决定去死,222,8.7,118116
叫我第一名,223,8.6,110012
爱在午夜降临前,224,8.8,117757
非常嫌疑犯,225,8.6,117837
穆赫兰道,226,8.3,237681
勇士,227,8.9,88483
你的名字。,228,8.4,470404
上帝也疯狂,229,8.6,97085
无敌破坏王,230,8.6,186358
疯狂的石头,231,8.2,318131
国王的演讲,232,8.3,343692
无人知晓,233,9.0,55472
血钻,234,8.5,133311
步履不停,235,8.8,72381
蓝色大门,236,8.3,274667
枪火,237,8.6,100677
大卫·戈尔的一生,238,8.6,93824
爱·回家,239,9.0,47747
彗星来的那一夜,240,8.4,178436
遗愿清单,241,8.5,129667
我爱你,242,9.0,57834
千钧一发,243,8.7,86540
荒岛余生,244,8.5,135267
麦兜故事,245,8.5,129093
暖暖内含光,246,8.4,145937
曾经,247,8.3,204357
月球,248,8.5,144778
蝴蝶,249,8.6,95450
巴黎淘气帮,250,8.6,104745
